"time","psource.tlm.q [m^3/s]","psource.tlm.p [Pa]","prv.tlm.q [m^3/s]","prv.tlm.p [Pa]"
0.0288,0.000599788,1.18157e+07,-0.000256613,1.16446e+07
0.0298,0.000584206,1.20587e+07,-0.000249893,1.18921e+07
0.0308,0.000569231,1.22956e+07,-0.000243435,1.21332e+07
0.0318,0.00055484,1.25265e+07,-0.000237229,1.23683e+07
0.0328,0.000541006,1.27517e+07,-0.000231265,1.25974e+07
0.0338,0.000527707,1.29714e+07,-0.000225531,1.28209e+07
0.0348,0.00051492,1.31858e+07,-0.000220018,1.3039e+07
0.0358,0.000502624,1.33952e+07,-0.000214718,1.32518e+07
0.0368,0.000490798,1.35996e+07,-0.00020962,1.34596e+07
0.0378,0.000479422,1.37993e+07,-0.000204717,1.36626e+07
0.0388,0.000468478,1.39945e+07,-0.000200001,1.38609e+07
0.0398,0.000457946,1.41854e+07,-0.000195463,1.40548e+07
0.0408,0.00044781,1.4372e+07,-0.000191096,1.42444e+07
0.0418,0.000438053,1.45547e+07,-0.000186892,1.44298e+07
0.0428,0.000428658,1.47334e+07,-0.000182846,1.46112e+07
0.0438,0.000419611,1.49084e+07,-0.000178949,1.47887e+07
0.0448,0.000410896,1.50797e+07,-0.000175196,1.49626e+07
0.0458,0.000402499,1.52476e+07,-0.000171581,1.51329e+07
0.0468,0.000394407,1.54122e+07,-0.000168097,1.52998e+07
0.0478,0.000386606,1.55735e+07,-0.000164739,1.54633e+07
0.0488,0.000379084,1.57317e+07,-0.000161502,1.56237e+07
0.0498,0.00037183,1.58869e+07,-0.000158381,1.5781e+07
0.0508,0.00036483,1.60392e+07,-0.000155369,1.59353e+07
0.0518,0.000358075,1.61887e+07,-0.000152464,1.60867e+07
0.0528,0.000351553,1.63355e+07,-0.000149659,1.62354e+07
0.0538,0.000345255,1.64797e+07,-0.000146951,1.63814e+07
0.0548,0.000339171,1.66214e+07,-0.000144336,1.65248e+07
0.0558,0.000333291,1.67606e+07,-0.000141809,1.66657e+07
0.0568,0.000327607,1.68975e+07,-0.000139366,1.68042e+07
0.0578,0.000322109,1.70321e+07,-0.000137004,1.69404e+07
0.0588,0.00031679,1.71645e+07,-0.00013472,1.70743e+07
0.0598,0.000311641,1.72948e+07,-0.000132509,1.7206e+07
0.0608,0.000306655,1.7423e+07,-0.000130369,1.73356e+07
0.0618,0.000301825,1.75491e+07,-0.000128296,1.74632e+07
0.0628,0.000297144,1.76734e+07,-0.000126288,1.75887e+07
0.0638,0.000292605,1.77957e+07,-0.000124341,1.77124e+07
0.0648,0.000288202,1.79163e+07,-0.000122453,1.78342e+07
0.0658,0.000283927,1.8035e+07,-0.000120621,1.79542e+07
0.0668,0.000279777,1.8152e+07,-0.000118842,1.80724e+07
0.0678,0.000275744,1.82674e+07,-0.000117114,1.81889e+07
0.0688,0.000271824,1.83811e+07,-0.000115436,1.83037e+07
0.0698,0.000268011,1.84933e+07,-0.000113803,1.84169e+07
0.0708,0.0002643,1.86039e+07,-0.000112215,1.85286e+07
0.0718,0.000260687,1.87129e+07,-0.000110669,1.86387e+07
0.0728,0.000257166,1.88206e+07,-0.000109164,1.87473e+07
0.0738,0.000253735,1.89268e+07,-0.000107696,1.88545e+07
0.0748,0.000250387,1.90316e+07,-0.000106266,1.89603e+07
0.0758,0.00024712,1.9135e+07,-0.00010487,1.90647e+07
0.0768,0.000243929,1.92371e+07,-0.000103507,1.91677e+07
0.0778,0.000240811,1.9338e+07,-0.000102176,1.92694e+07
0.0788,0.000237762,1.94375e+07,-0.000100875,1.93698e+07
0.0798,0.000234778,1.95358e+07,-9.9602e-05,1.9469e+07
0.0808,0.000231857,1.96329e+07,-9.83565e-05,1.95669e+07
0.0818,0.000228996,1.97288e+07,-9.71368e-05,1.96636e+07
0.0828,0.000226191,1.98235e+07,-9.59416e-05,1.97591e+07
0.0838,0.000223439,1.99171e+07,-9.47696e-05,1.98535e+07
0.0848,0.000220739,2.00095e+07,-9.36197e-05,1.99467e+07
0.0858,0.000218086,2.01008e+07,-9.24907e-05,2.00388e+07
0.0868,0.000215487,2.0191e+07,-9.23428e-05,2.01294e+07
0.0878,0.000213317,2.02759e+07,-0.000103892,2.02123e+07
0.0888,0.000212577,2.03456e+07,-0.000130395,2.02768e+07
0.0898,0.00021403,2.03929e+07,-0.000165632,2.03167e+07
0.0908,0.000217878,2.04161e+07,-0.000202078,2.03319e+07
0.0918,0.000223817,2.04184e+07,-0.000233644,2.03267e+07
0.0928,0.000231216,2.04061e+07,-0.000256652,2.03084e+07
0.0938,0.000239319,2.03866e+07,-0.000269959,2.02847e+07
0.0948,0.000247414,2.03669e+07,-0.000274525,2.02624e+07
0.0958,0.000254961,2.0352e+07,-0.0002727,2.02464e+07
0.0968,0.000261647,2.03449e+07,-0.000267427,2.02391e+07
0.0978,0.000267388,2.03464e+07,-0.000261543,2.02406e+07
0.0988,0.000272287,2.03553e+07,-0.000257271,2.02494e+07
0.0998,0.000276567,2.03695e+07,-0.000255958,2.02629e+07
0.1008,0.0002805,2.03862e+07,-0.000258046,2.02784e+07
0.1018,0.000284341,2.04029e+07,-0.000263211,2.02934e+07
0.1028,0.000288288,2.04179e+07,-0.000270621,2.0306e+07
0.1038,0.000292453,2.04299e+07,-0.00027922,2.03155e+07
0.1048,0.000296871,2.04387e+07,-0.000287981,2.03216e+07
0.1058,0.000301504,2.04447e+07,-0.000296095,2.03251e+07
0.1068,0.000306273,2.04486e+07,-0.000303067,2.03267e+07
0.1078,0.00031108,2.04515e+07,-0.00030873,2.03275e+07
0.1088,0.000315832,2.04542e+07,-0.000313191,2.03284e+07
0.1098,0.000320458,2.04575e+07,-0.000316746,2.033e+07
0.1108,0.000324914,2.04616e+07,-0.000319772,2.03326e+07
0.1118,0.000329188,2.04667e+07,-0.000322637,2.03363e+07
0.1128,0.000333292,2.04728e+07,-0.000325635,2.03409e+07
0.1138,0.000337252,2.04794e+07,-0.000328946,2.03461e+07
0.1148,0.000341105,2.04863e+07,-0.000332633,2.03515e+07
0.1158,0.000344882,2.04931e+07,-0.000336661,2.03568e+07
0.1168,0.000348609,2.04997e+07,-0.000340924,2.03617e+07
0.1178,0.000352301,2.05057e+07,-0.000345288,2.03662e+07
0.1188,0.000355964,2.05113e+07,-0.000349619,2.03702e+07
0.1198,0.000359592,2.05164e+07,-0.00035381,2.03737e+07
0.1208,0.000363175,2.05212e+07,-0.000357796,2.03769e+07
0.1218,0.000366701,2.05257e+07,-0.000361551,2.038e+07
0.1228,0.000370157,2.05301e+07,-0.000365087,2.0383e+07
0.1238,0.000373534,2.05345e+07,-0.00036844,2.0386e+07
0.1248,0.000376825,2.05389e+07,-0.000371658,2.03891e+07
0.1258,0.000380029,2.05433e+07,-0.000374789,2.03923e+07
0.1268,0.000383146,2.05477e+07,-0.000377869,2.03955e+07
0.1278,0.00038618,2.05522e+07,-0.000380925,2.03987e+07
0.1288,0.000389134,2.05566e+07,-0.000383964,2.04019e+07
0.1298,0.000392014,2.05609e+07,-0.000386982,2.0405e+07
0.1308,0.000394821,2.0565e+07,-0.000389966,2.0408e+07
0.1318,0.000397559,2.0569e+07,-0.0003929,2.04109e+07
0.1328,0.000400226,2.05729e+07,-0.000395765,2.04136e+07
0.1338,0.000402824,2.05765e+07,-0.000398548,2.04162e+07
0.1348,0.000405349,2.05801e+07,-0.000401239,2.04187e+07
0.1358,0.000407801,2.05835e+07,-0.000403834,2.04212e+07
0.1368,0.000410178,2.05868e+07,-0.000406335,2.04235e+07
0.1378,0.000412478,2.059e+07,-0.000408745,2.04258e+07
0.1388,0.0004147,2.05932e+07,-0.000411072,2.0428e+07
0.1398,0.000416843,2.05962e+07,-0.000413319,2.04301e+07
0.1408,0.000418909,2.05991e+07,-0.000415493,2.04322e+07
0.1418,0.000420896,2.0602e+07,-0.000417597,2.04342e+07
0.1428,0.000422806,2.06047e+07,-0.000419631,2.04362e+07
0.1438,0.000424639,2.06073e+07,-0.000421595,2.0438e+07
0.1448,0.000426394,2.06098e+07,-0.000423488,2.04398e+07
0.1458,0.000428073,2.06122e+07,-0.000425306,2.04415e+07
0.1468,0.000429674,2.06145e+07,-0.000427048,2.04431e+07
0.1478,0.000431199,2.06167e+07,-0.000428712,2.04447e+07
0.1488,0.000432646,2.06187e+07,-0.000430296,2.04461e+07
0.1498,0.000434016,2.06206e+07,-0.0004318,2.04475e+07
0.1508,0.000435307,2.06225e+07,-0.000433223,2.04487e+07
0.1518,0.00043652,2.06242e+07,-0.000434566,2.04499e+07
0.1528,0.000437655,2.06258e+07,-0.00043583,2.04511e+07
0.1538,0.000438711,2.06273e+07,-0.000437016,2.04521e+07
0.1548,0.000439688,2.06286e+07,-0.000438123,2.04531e+07
0.1558,0.000440587,2.06299e+07,-0.000439152,2.04539e+07
0.1568,0.000441406,2.06311e+07,-0.000440104,2.04547e+07
0.1578,0.000442147,2.06321e+07,-0.000440978,2.04555e+07
0.1588,0.000442809,2.0633e+07,-0.000441775,2.04561e+07
0.1598,0.000443393,2.06338e+07,-0.000442492,2.04567e+07
0.1608,0.000443897,2.06346e+07,-0.000443131,2.04571e+07
0.1618,0.000444323,2.06351e+07,-0.000443691,2.04575e+07
0.1628,0.000444669,2.06356e+07,-0.000444172,2.04578e+07
0.1638,0.000444937,2.0636e+07,-0.000444574,2.04581e+07
0.1648,0.000445125,2.06362e+07,-0.000444896,2.04582e+07
0.1658,0.000445235,2.06364e+07,-0.000445139,2.04583e+07
0.1668,0.000445265,2.06364e+07,-0.000445302,2.04583e+07
0.1678,0.000445216,2.06363e+07,-0.000445387,2.04582e+07
0.1688,0.000445088,2.06361e+07,-0.000445392,2.0458e+07
0.1698,0.000444881,2.06358e+07,-0.000445318,2.04578e+07
0.1708,0.000444595,2.06354e+07,-0.000445165,2.04574e+07
0.1718,0.00044423,2.06348e+07,-0.000444934,2.0457e+07
0.1728,0.000443785,2.06342e+07,-0.000444623,2.04565e+07
0.1738,0.000443262,2.06334e+07,-0.000444233,2.04559e+07
0.1748,0.00044266,2.06325e+07,-0.000443765,2.04553e+07
0.1758,0.000441979,2.06315e+07,-0.000443217,2.04545e+07
0.1768,0.000441219,2.06304e+07,-0.00044259,2.04537e+07
0.1778,0.000440381,2.06292e+07,-0.000441885,2.04528e+07
0.1788,0.000439463,2.06279e+07,-0.000441101,2.04518e+07
0.1798,0.000438468,2.06264e+07,-0.000440238,2.04507e+07
0.1808,0.000437393,2.06249e+07,-0.000439296,2.04496e+07
0.1818,0.000436241,2.06232e+07,-0.000438275,2.04483e+07
0.1828,0.00043501,2.06215e+07,-0.000437177,2.0447e+07
0.1838,0.0004337,2.06196e+07,-0.000435999,2.04456e+07
0.1848,0.000432313,2.06176e+07,-0.000434744,2.04442e+07
0.1858,0.000430848,2.06155e+07,-0.00043341,2.04426e+07
0.1868,0.000429305,2.06132e+07,-0.000431999,2.0441e+07
0.1878,0.000427684,2.06109e+07,-0.000430509,2.04393e+07
0.1888,0.000425986,2.06084e+07,-0.000428942,2.04375e+07
0.1898,0.00042421,2.06059e+07,-0.000427297,2.04356e+07
0.1908,0.000422357,2.06032e+07,-0.000425574,2.04337e+07
0.1918,0.000420427,2.06005e+07,-0.000423774,2.04316e+07
0.1928,0.00041842,2.05976e+07,-0.000421897,2.04295e+07
0.1938,0.000416337,2.05946e+07,-0.000419943,2.04273e+07
0.1948,0.000414177,2.05915e+07,-0.000417912,2.04251e+07
0.1958,0.00041194,2.05883e+07,-0.000415804,2.04227e+07
0.1968,0.000409628,2.05849e+07,-0.00041362,2.04203e+07
0.1978,0.000407239,2.05815e+07,-0.000411359,2.04178e+07
0.1988,0.000404775,2.0578e+07,-0.000409023,2.04152e+07
0.1998,0.000402235,2.05743e+07,-0.000406611,2.04126e+07
0.2008,0.00039962,2.05706e+07,-0.000404122,2.04098e+07
0.2018,0.00039693,2.05667e+07,-0.000401559,2.0407e+07
0.2028,0.000394165,2.05627e+07,-0.00039892,2.04042e+07
0.2038,0.000391325,2.05587e+07,-0.000396206,2.04012e+07
0.2048,0.000388412,2.05545e+07,-0.000393418,2.03981e+07
0.2058,0.000385424,2.05502e+07,-0.000390555,2.0395e+07
0.2068,0.000382362,2.05458e+07,-0.000387618,2.03918e+07
0.2078,0.000379227,2.05413e+07,-0.000384606,2.03886e+07
0.2088,0.000376019,2.05367e+07,-0.000381521,2.03852e+07
0.2098,0.000372737,2.0532e+07,-0.000378363,2.03818e+07
0.2108,0.000369383,2.05272e+07,-0.000375131,2.03783e+07
0.2118,0.000365957,2.05223e+07,-0.000371827,2.03748e+07
0.2128,0.000362458,2.05173e+07,-0.00036845,2.03711e+07
0.2138,0.000358888,2.05121e+07,-0.000365001,2.03674e+07
0.2148,0.000355247,2.05069e+07,-0.000361479,2.03636e+07
0.2158,0.000351534,2.05016e+07,-0.000357886,2.03598e+07
0.2168,0.00034775,2.04962e+07,-0.000354222,2.03558e+07
0.2178,0.000343896,2.04906e+07,-0.000350487,2.03518e+07
0.2188,0.000339972,2.0485e+07,-0.000346681,2.03477e+07
0.2198,0.000335979,2.04793e+07,-0.000342804,2.03436e+07
0.2208,0.000331915,2.04735e+07,-0.000338858,2.03394e+07
0.2218,0.000327783,2.04676e+07,-0.000334842,2.03351e+07
0.2228,0.000323582,2.04615e+07,-0.000330757,2.03307e+07
0.2238,0.000319313,2.04554e+07,-0.000326602,2.03263e+07
0.2248,0.000314976,2.04492e+07,-0.00032238,2.03218e+07
0.2258,0.000310571,2.04429e+07,-0.000318089,2.03172e+07
0.2268,0.000306099,2.04365e+07,-0.00031373,2.03126e+07
0.2278,0.000301561,2.043e+07,-0.000309304,2.03079e+07
0.2288,0.000296956,2.04234e+07,-0.00030481,2.03031e+07
0.2298,0.000292285,2.04167e+07,-0.00030025,2.02983e+07
0.2308,0.000287549,2.04099e+07,-0.000295624,2.02934e+07
0.2318,0.000282747,2.04031e+07,-0.000290932,2.02884e+07
0.2328,0.000277881,2.03961e+07,-0.000286175,2.02833e+07
0.2338,0.000272951,2.0389e+07,-0.000281353,2.02782e+07
0.2348,0.000267957,2.03819e+07,-0.000276466,2.02731e+07
0.2358,0.000262899,2.03746e+07,-0.000271515,2.02678e+07
0.2368,0.000257779,2.03673e+07,-0.0002665,2.02625e+07
0.2378,0.000252596,2.03599e+07,-0.000261422,2.02572e+07
0.2388,0.000247351,2.03524e+07,-0.000256282,2.02517e+07
0.2398,0.000242045,2.03448e+07,-0.000251079,2.02462e+07
0.2408,0.000236677,2.03371e+07,-0.000245814,2.02407e+07
0.2418,0.000231249,2.03293e+07,-0.000240487,2.02351e+07
0.2428,0.000225761,2.03215e+07,-0.0002351,2.02294e+07
0.2438,0.000220213,2.03135e+07,-0.000229653,2.02236e+07
0.2448,0.000214607,2.03055e+07,-0.000224145,2.02178e+07
0.2458,0.000208941,2.02974e+07,-0.000218578,2.0212e+07
0.2468,0.000203217,2.02892e+07,-0.000212952,2.02061e+07
0.2478,0.000197436,2.02809e+07,-0.000207268,2.02001e+07
0.2488,0.000191598,2.02726e+07,-0.000201525,2.0194e+07
0.2498,0.000185703,2.02641e+07,-0.000195725,2.01879e+07
0.2508,0.000179752,2.02556e+07,-0.000189868,2.01818e+07
0.2518,0.000173746,2.0247e+07,-0.000183955,2.01756e+07
0.2528,0.000167684,2.02384e+07,-0.000177986,2.01693e+07
0.2538,0.000161568,2.02296e+07,-0.000171961,2.0163e+07
0.2548,0.000155399,2.02208e+07,-0.000165882,2.01566e+07
0.2558,0.000149175,2.02119e+07,-0.000159748,2.01502e+07
0.2568,0.000142899,2.02029e+07,-0.000153561,2.01437e+07
