time,shaft1.tlm.rx,shaft1.tlm.ry,shaft1.tlm.rz,shaft1.tlm.ax,shaft1.tlm.ay,shaft1.tlm.az,shaft1.tlm.vx,shaft1.tlm.vy,shaft1.tlm.vz,shaft1.tlm.wx,shaft1.tlm.wy,shaft1.tlm.wz,shaft1.tlm.fx,shaft1.tlm.fy,shaft1.tlm.fz,shaft1.tlm.tx,shaft1.tlm.ty,shaft1.tlm.tz,brg1.bIR`cs1.rx,brg1.bIR`cs1.ry,brg1.bIR`cs1.rz,brg1.bIR`cs1.ax,brg1.bIR`cs1.ay,brg1.bIR`cs1.az,brg1.bIR`cs1.vx,brg1.bIR`cs1.vy,brg1.bIR`cs1.vz,brg1.bIR`cs1.wx,brg1.bIR`cs1.wy,brg1.bIR`cs1.wz,brg1.bIR`cs1.fx,brg1.bIR`cs1.fy,brg1.bIR`cs1.fz,brg1.bIR`cs1.tx,brg1.bIR`cs1.ty,brg1.bIR`cs1.tz,brg1.bER`cs1.rx,brg1.bER`cs1.ry,brg1.bER`cs1.rz,brg1.bER`cs1.ax,brg1.bER`cs1.ay,brg1.bER`cs1.az,brg1.bER`cs1.vx,brg1.bER`cs1.vy,brg1.bER`cs1.vz,brg1.bER`cs1.wx,brg1.bER`cs1.wy,brg1.bER`cs1.wz,brg1.bER`cs1.fx,brg1.bER`cs1.fy,brg1.bER`cs1.fz,brg1.bER`cs1.tx,brg1.bER`cs1.ty,brg1.bER`cs1.tz,shaft2.tlm.rx,shaft2.tlm.ry,shaft2.tlm.rz,shaft2.tlm.ax,shaft2.tlm.ay,shaft2.tlm.az,shaft2.tlm.vx,shaft2.tlm.vy,shaft2.tlm.vz,shaft2.tlm.wx,shaft2.tlm.wy,shaft2.tlm.wz,shaft2.tlm.fx,shaft2.tlm.fy,shaft2.tlm.fz,shaft2.tlm.tx,shaft2.tlm.ty,shaft2.tlm.tz
0.01,-9.48658e-06,-0.1,6.33657e-10,-6.33657e-09,4.21579e-08,-9.48658e-05,-0.00196747,1.86646e-07,2.5734e-06,-2.57173e-05,0.000176485,-0.0196747,-19.1861,-0.087205,-0.714575,-0.00205065,0.0141184,-1.57827,-6.73405e-06,1.65035e-07,4.47601e-07,-0.570796,0.273852,3.14159,-0.00109404,7.05748e-05,-0.000296733,2.39215e-05,2.48858e-05,-0.000521959,-7.35488,0.554962,-2.00841,0.0015698,0.00184681,-0.0408838,-6.54931e-06,1.98917e-09,4.35159e-07,-0.570796,0.273852,3.14151,0.000557033,1.17784e-05,0.000340554,-1.0679e-05,6.48362e-05,-0.00713237,3.84176,0.116089,2.45566,-0.000857291,0.00573514,-0.568853,-9.54747e-06,1.32129e-07,7.31969e-08,3.15931e-08,5.5931e-08,-3.13844e-06,-0.00311075,-8.02091e-05,-0.000437072,3.24868e-06,3.01194e-05,-0.000315679,-24.8898,-0.636658,-3.482,-0.000494863,0.00240966,-0.0253363
0.011,-1.01652e-05,-0.1,1.21702e-10,-1.21702e-09,4.48057e-08,-0.000101652,-0.000899401,9.14261e-08,1.31785e-06,-1.31703e-05,8.13961e-05,-0.00899401,-16.7462,-0.147594,-2.34227,-0.00104589,0.00651162,-0.724679,-8.47072e-06,1.52394e-07,2.5525e-07,-0.570796,0.273851,3.14159,-0.00212454,-5.17482e-05,-0.000236483,-1.08605e-05,3.28826e-05,-0.000306763,-12.5124,-0.372847,-0.761206,-0.000923517,0.0026642,-0.0242625,-7.8653e-06,-8.45353e-09,3.68862e-07,-0.570796,0.273851,3.1415,-0.00255054,-1.87347e-05,-0.000192456,-2.69858e-05,0.000172771,-0.0179128,-21.6891,-0.167153,-2.05104,-0.00242536,0.0148343,-1.42826,-1.05986e-05,1.78777e-07,-2.04333e-08,4.09866e-08,6.60111e-08,-3.86521e-06,-0.00146569,3.46855e-05,-0.000317137,-1.16132e-06,3.7202e-05,-0.000498634,-11.7726,0.272787,-2.51067,-0.00142084,0.00297547,-0.0422108
0.012,-1.12e-05,-0.1,1.18265e-09,-1.18265e-08,9.05991e-08,-0.000112,-0.00162835,1.82376e-07,2.7421e-06,-2.74023e-05,0.000166598,-0.0162835,-5.21887,0.182951,2.18529,-0.00218479,0.0133274,-1.30727,-8.97943e-06,1.94649e-07,3.14028e-07,-0.570796,0.273851,3.14159,-0.00137144,4.06826e-06,-0.00021338,-1.90003e-05,4.18322e-05,-0.000484499,-6.61405,0.0131629,-0.462909,-0.00137665,0.00328537,-0.0389336,-8.36465e-06,-4.34608e-10,4.22031e-07,-0.570796,0.273851,3.14149,-0.00204058,-1.86656e-05,-0.000241978,-1.62797e-05,9.81544e-05,-0.0106839,-14.7693,-0.137952,-1.63536,-0.00143131,0.00821556,-0.85182,-1.2049e-05,1.71022e-07,-1.24455e-07,4.37101e-08,8.53109e-08,-4.48929e-06,-0.00135632,-2.64133e-05,-8.97773e-05,-2.73524e-05,3.4304e-05,-0.000279353,-10.7622,-0.203911,-0.681946,-0.00402713,0.00274475,-0.0177989
0.013,-1.19234e-05,-0.1,2.0332e-09,-2.0332e-08,1.44297e-07,-0.000119234,-0.00121235,1.44554e-07,1.90764e-06,-1.9063e-05,0.000112557,-0.0121235,-3.87998,0.15121,1.5417,-0.00150854,0.00897744,-0.974788,-1.01669e-05,1.91772e-07,2.88955e-07,-0.570796,0.273851,3.14159,-0.000389492,5.47009e-06,0.000123306,-3.00673e-05,4.06946e-05,-0.000299605,3.5485,0.161325,2.74666,-0.00214457,0.00373849,-0.0247742,-9.35811e-06,2.36956e-09,4.27214e-07,-0.570796,0.273851,3.14148,-0.000791702,4.01473e-05,0.000172284,-1.88535e-05,0.000171786,-0.0149166,-8.97569,0.455591,0.484675,-0.00102799,0.0154575,-1.1919,-1.21774e-05,2.09117e-07,4.41495e-08,4.43225e-08,9.7062e-08,-5.25439e-06,-0.00115256,-1.83189e-05,-9.37565e-05,-5.03073e-05,4.26949e-05,-0.000399466,-9.13395,-0.146285,-0.697708,-0.00665224,0.00341621,-0.0275757
0.014,-1.29186e-05,-0.1,3.1006e-09,-3.1006e-08,1.87241e-07,-0.000129186,-0.00138175,1.78503e-07,1.3205e-06,-1.31828e-05,0.000171448,-0.0138175,-14.5493,-0.407833,-0.592852,-0.00100349,0.0137159,-1.11039,-1.01343e-05,2.30256e-07,5.14046e-07,-0.570796,0.273851,3.14159,-0.00102125,-3.09164e-05,-2.3194e-05,-7.82958e-05,3.54467e-05,-0.000320151,-5.07814,-0.237857,0.621507,-0.00623976,0.0021829,-0.025745,-1.01702e-05,3.75641e-09,4.12234e-07,-0.570796,0.273851,3.14148,-0.000591083,1.63652e-05,0.000183092,-2.15552e-05,0.000134644,-0.0132841,-4.06212,0.1195,1.54327,-0.00184271,0.0114411,-1.05929,-1.30231e-05,2.10907e-07,1.17494e-07,6.14721e-08,1.18354e-07,-6.08014e-06,0.000363713,2.92332e-05,0.000288592,-3.61732e-05,4.452e-05,-0.00031725,2.96998,0.239945,2.34226,-0.00458621,0.00356212,-0.0222696
0.015,-1.37104e-05,-0.1,3.37201e-09,-3.37201e-08,2.58929e-07,-0.000137104,-0.001414,1.93866e-07,2.42732e-06,-2.42526e-05,0.000150311,-0.01414,-16.7784,-0.100948,-1.19903,-0.0019301,0.0120018,-1.13591,-1.0795e-05,2.35533e-07,6.37961e-07,-0.570796,0.273851,3.14159,0.000400085,3.57509e-05,0.000267286,-4.62251e-05,4.29155e-05,-0.00033274,4.64796,0.298569,2.4542,-0.00371069,0.0034896,-0.0265201,-1.06856e-05,7.8754e-09,5.32656e-07,-0.570796,0.273851,3.14147,-0.00151719,-4.05742e-05,-2.44105e-05,-1.36851e-05,0.000170586,-0.012989,-9.84277,-0.287767,0.35118,-0.00106149,0.0149427,-1.03648,-1.2807e-05,2.48819e-07,4.04912e-07,6.23864e-08,1.50656e-07,-6.91012e-06,-0.000791433,-3.73503e-05,5.94304e-05,-0.000141336,3.00358e-05,-9.94255e-05,-6.00439,-0.294017,0.584709,-0.0168204,0.00240434,0.00861044
0.016,-1.46599e-05,-0.1,3.83205e-09,-3.83205e-08,2.85059e-07,-0.000146599,-0.00124437,1.82425e-07,1.27452e-06,-1.27186e-05,0.000181559,-0.0124437,-9.73901,0.247511,-0.131312,-0.000996581,0.0145246,-1.00048,-1.07009e-05,2.64755e-07,9.03844e-07,-0.570796,0.273851,3.14158,-0.000468018,-3.95749e-05,0.000155571,-0.000201379,3.1416e-05,0.000115004,-1.22938,-0.325815,1.89233,-0.0155009,0.00261207,0.00661901,-1.10844e-05,6.5796e-09,6.48267e-07,-0.570796,0.273851,3.14146,-0.00161172,-4.27597e-07,-2.8783e-05,-2.85958e-05,0.000185737,-0.0147594,-9.75694,0.0746061,0.399969,-0.00234076,0.0155075,-1.17725,-1.31497e-05,2.58807e-07,6.16674e-07,8.46141e-08,1.66053e-07,-7.90309e-06,0.000477006,4.1552e-05,0.000275932,-4.40586e-05,5.28461e-05,-0.000394088,3.80183,0.33344,2.22429,-0.00435959,0.00422592,-0.0322453
0.017,-1.55155e-05,-0.1,4.30658e-09,-4.30658e-08,3.42094e-07,-0.000155155,-0.00150884,2.34105e-07,2.9211e-06,-2.91811e-05,0.000192815,-0.0150884,-14.3371,-0.0881202,-0.397142,-0.00232307,0.0154252,-1.21168,-1.10047e-05,2.77678e-07,1.11999e-06,-0.570796,0.273851,3.14158,0.000385643,4.34777e-05,0.000256656,-4.10639e-05,5.065e-05,-0.000399786,3.451,0.363878,2.16591,-0.00215966,0.00344295,-0.0311903,-1.2052e-05,-9.94754e-10,6.48982e-07,-0.570796,0.273851,3.14145,-0.000611524,5.17931e-05,0.000111336,3.4093e-05,0.000168888,-0.0120918,-1.01985,0.61279,1.72518,0.00640646,0.0128885,-0.960833,-1.30997e-05,2.82166e-07,8.81074e-07,7.19409e-08,1.87997e-07,-8.76233e-06,-0.000121865,-3.71502e-05,0.000248576,-0.000212984,3.26797e-05,0.00015552,-0.842266,-0.288934,2.03812,-0.019587,0.00261512,0.0193582
0.018,-1.64311e-05,-0.1,4.17294e-09,-4.17294e-08,3.73934e-07,-0.000164311,-0.00119601,1.96517e-07,-6.10078e-06,6.10342e-05,0.000160649,-0.0119601,-17.81,-0.524442,-1.73565,0.00487001,0.0128519,-0.961807,-1.13139e-05,2.88715e-07,1.28458e-06,-0.570796,0.273851,3.14158,-0.000449374,-5.13108e-05,0.000155949,-0.00021673,4.80276e-05,0.000204386,-6.49278,-0.565436,0.44498,-0.0165367,0.00507679,0.0166592,-1.28487e-05,-4.53176e-09,6.71332e-07,-0.570796,0.273851,3.14144,-0.00105021,2.35029e-06,0.000121662,-1.27512e-05,0.00021677,-0.0152004,-2.16709,0.144991,2.38535,0.000282597,0.0194056,-1.21104,-1.33175e-05,2.96937e-07,1.11706e-06,9.04999e-08,2.07265e-07,-9.87828e-06,0.000411536,4.05538e-05,0.000275713,-7.42177e-05,4.58729e-05,-0.000248797,3.51708,0.340913,2.2684,-0.00911187,0.00367079,-0.00845017
0.019,-1.73353e-05,-0.1,6.01431e-09,-6.01431e-08,4.22522e-07,-0.000173353,-0.00151654,2.62897e-07,1.37857e-07,-1.33824e-06,0.000232661,-0.0151654,-20.7462,-0.102831,-2.06229,-6.69208e-05,0.0186036,-1.21787,-1.17762e-05,3.09233e-07,1.43656e-06,-0.570796,0.273851,3.14158,0.000209094,4.97722e-05,0.000194487,-0.000133665,5.77501e-05,-8.8115e-05,0.189168,0.498967,0.868989,-0.0111188,0.00537478,-0.00680306,-1.33356e-05,-2.6462e-09,7.92009e-07,-0.570796,0.273851,3.14143,-0.00128289,-4.26779e-05,3.19381e-05,4.40314e-05,0.000172687,-0.0120165,-3.10159,-0.22633,2.12647,0.00357433,0.0146605,-0.957537,-1.38465e-05,2.99357e-07,1.22548e-06,7.10784e-08,2.25559e-07,-1.0852e-05,-0.000650256,-5.83126e-05,9.34187e-05,-0.000180352,5.63701e-05,0.000104702,-5.30205,-0.455714,0.72426,-0.0132926,0.00450909,0.00349635
