"time","hydraulics.tlm.x [m]","hydraulics.tlm.v [m/s]","hydraulics.tlm.F [N]","mechanics.x","mechanics.tlm.x [m]","mechanics.tlm.v [m/s]","mechanics.tlm.F [N]","controller.u"
0.182,0.00393658,-0.0542215,9979.55,0.0079188,0.00797036,-0.053537,-9935.82,-4.03156e-05
0.184,0.00383185,-0.052116,10003.2,0.00781959,0.00786865,-0.0511013,-9916.41,-3.9792e-05
0.186,0.00373213,-0.0497735,10008.1,0.0077251,0.00777177,-0.0487269,-9914.13,-3.92934e-05
0.188,0.00363723,-0.0471601,9994.29,0.00763511,0.0076795,-0.0463813,-9928.96,-3.88186e-05
0.19,0.003547,-0.0443621,9967.45,0.00754945,0.00759165,-0.044059,-9955.45,-3.83664e-05
0.192,0.00346126,-0.0415494,9936.97,0.00746799,0.0075081,-0.0417776,-9984.76,-3.7936e-05
0.194,0.00337988,-0.0389146,9912.72,0.00739063,0.00742873,-0.0395673,-10007.6,-3.75266e-05
0.196,0.0033027,-0.0366103,9902.03,0.00731727,0.00735343,-0.0374574,-10017.3,-3.71379e-05
0.198,0.00322954,-0.0347013,9907.58,0.00724784,0.0072821,-0.0354656,-10011.3,-3.67693e-05
0.2,0.00316025,-0.0331492,9926.89,0.00718222,0.00721462,-0.0335928,-9992.57,-3.64204e-05
0.202,0.00309467,-0.0318292,9953.36,0.00712029,0.00715088,-0.0318235,-9967.49,-3.60906e-05
0.204,0.00303263,-0.0305739,9978.62,0.00706189,0.00709073,-0.0301328,-9944.29,-3.57794e-05
0.206,0.00297401,-0.0292286,9995.19,0.00700687,0.00703402,-0.0284956,-9930.19,-3.5486e-05
0.208,0.00291867,-0.0276985,9998.75,0.00695503,0.00698056,-0.0268961,-9929.19,-3.52095e-05
0.21,0.00286647,-0.0259756,9989.32,0.00690618,0.0069302,-0.0253323,-9941.06,-3.4949e-05
0.212,0.00281728,-0.0241364,9970.97,0.00686014,0.00688275,-0.023817,-9961.61,-3.47035e-05
0.214,0.00277095,-0.0223131,9950.32,0.00681673,0.00683804,-0.0223726,-9984.18,-3.44722e-05
0.216,0.0027273,-0.0206489,9934.32,0.00677579,0.00679591,-0.0210225,-10001.9,-3.4254e-05
0.218,0.00268619,-0.0192521,9928.05,0.00673719,0.00675619,-0.019783,-10009.6,-3.40483e-05
0.22,0.00264743,-0.0181631,9933.27,0.0067008,0.00671874,-0.0186571,-10005.8,-3.38544e-05
0.222,0.00261089,-0.0173445,9948.02,0.00666652,0.00668345,-0.0176321,-9992.4,-3.36715e-05
0.224,0.00257642,-0.0166954,9967.45,0.00663426,0.00665021,-0.0166834,-9974.2,-3.34993e-05
0.226,0.00254393,-0.0160857,9985.51,0.00660393,0.00661891,-0.0157808,-9957.25,-3.33372e-05
0.228,0.00251331,-0.0153963,9996.89,0.00657543,0.00658948,-0.014897,-9946.83,-3.31847e-05
0.23,0.00248452,-0.0145546,9998.65,0.00654869,0.00656185,-0.014015,-9945.9,-3.30415e-05
0.232,0.00245747,-0.0135542,9990.96,0.00652362,0.00653592,-0.0131322,-9954.31,-3.29072e-05
0.234,0.00243212,-0.0124519,9976.96,0.00650014,0.00651164,-0.0122598,-9969,-3.27812e-05
0.236,0.00240839,-0.0113467,9961.56,0.00647815,0.00648891,-0.0114182,-9985.17,-3.26632e-05
0.238,0.00238619,-0.0103457,9949.83,0.00645758,0.00646766,-0.0106303,-9997.82,-3.25527e-05
