"time","SineAndStep.out2","SineAndStep.out1","Ramp.out","MultiplyAndAdd.out2","MultiplyAndAdd.out1","Gain.out"
0.12,0,-0.24869,1.05,-0.854882,-0.854882,-1.96457
0.121,0,-0.198952,1.0525,-0.824238,-0.824238,-1.97087
0.122,0,-0.149214,1.055,-0.793594,-0.793594,-1.97717
0.123,0,-0.099476,1.0575,-0.762949,-0.762949,-1.98346
0.124,0,-0.049738,1.06,-0.732305,-0.732305,-1.98976
0.125,0,4.29244e-15,1.0625,-0.701661,-0.701661,-1.99605
0.126,0,0.049738,1.065,-0.661293,-0.661293,-1.97727
0.127,0,0.099476,1.0675,-0.620924,-0.620924,-1.95848
0.128,0,0.149214,1.07,-0.580556,-0.580556,-1.93969
0.129,0,0.198952,1.0725,-0.540188,-0.540188,-1.9209
0.13,0,0.24869,1.075,-0.499819,-0.499819,-1.90211
0.131,0,0.295303,1.0775,-0.45208,-0.45208,-1.86364
0.132,0,0.341915,1.08,-0.404341,-0.404341,-1.82517
0.133,0,0.388528,1.0825,-0.356602,-0.356602,-1.7867
0.134,0,0.435141,1.085,-0.308863,-0.308863,-1.74823
0.135,0,0.481754,1.0875,-0.261124,-0.261124,-1.70976
0.136,0,0.522312,1.09,-0.2089,-0.2089,-1.64848
0.137,0,0.562871,1.0925,-0.156675,-0.156675,-1.58719
0.138,0,0.60343,1.095,-0.10445,-0.10445,-1.5259
0.139,0,0.643988,1.0975,-0.0522249,-0.0522249,-1.46461
0.14,0,0.684547,1.1,4.59523e-15,4.59523e-15,-1.40332
0.141,0,0.716503,1.1025,0.0534683,0.0534683,-1.32259
0.142,0,0.748459,1.105,0.106937,0.106937,-1.24185
0.143,0,0.780416,1.1075,0.160405,0.160405,-1.16111
0.144,0,0.812372,1.11,0.213873,0.213873,-1.08038
0.145,0,0.844328,1.1125,0.267342,0.267342,-0.999639
0.146,0,0.865674,1.115,0.318655,0.318655,-0.904161
0.147,0,0.887019,1.1175,0.369968,0.369968,-0.808683
0.148,0,0.908365,1.12,0.421281,0.421281,-0.713205
0.149,0,0.929711,1.1225,0.472594,0.472594,-0.617727
0.15,0,0.951057,1.125,0.523907,0.523907,-0.522249
0.151,0,0.960451,1.1275,0.569726,0.569726,-0.417799
0.152,0,0.969845,1.13,0.615545,0.615545,-0.313349
