"time","cs_adder1fmu1.y","cs_source1fmu1.y","cs_source1fmu2.y"
0.698,2.29541,1.7324,0.641586
0.699,2.30123,1.72941,0.649287
0.7,2.30704,1.72642,0.656987
0.701,2.31251,1.72335,0.664358
0.702,2.31797,1.72028,0.67173
0.703,2.32344,1.71722,0.679102
0.704,2.3289,1.71415,0.686473
0.705,2.33437,1.71108,0.693845
0.706,2.33947,1.70793,0.70087
0.707,2.34456,1.70479,0.707895
0.708,2.34966,1.70165,0.714919
0.709,2.35476,1.6985,0.721944
0.71,2.35986,1.69536,0.728969
0.711,2.36457,1.69213,0.735629
0.712,2.36928,1.68891,0.74229
0.713,2.37399,1.68569,0.74895
0.714,2.3787,1.68247,0.755611
0.715,2.38341,1.67925,0.762271
0.716,2.38771,1.67595,0.76855
0.717,2.39201,1.67266,0.77483
0.718,2.39632,1.66936,0.781109
0.719,2.40062,1.66606,0.787389
0.72,2.40492,1.66277,0.793668
0.721,2.4088,1.6594,0.79955
0.722,2.41268,1.65602,0.805433
0.723,2.41656,1.65265,0.811316
0.724,2.42044,1.64928,0.817198
0.725,2.42432,1.64591,0.823081
0.726,2.42776,1.64246,0.828552
0.727,2.4312,1.63902,0.834023
0.728,2.43464,1.63557,0.839494
0.729,2.43808,1.63213,0.844965
0.73,2.44152,1.62868,0.850437
0.731,2.4445,1.62516,0.855483
0.732,2.44749,1.62164,0.860529
0.733,2.45047,1.61813,0.865575
0.734,2.45345,1.61461,0.870621
0.735,2.45643,1.61109,0.875667
0.736,2.45895,1.6075,0.880275
0.737,2.46146,1.6039,0.884883
0.738,2.46397,1.60031,0.889492
0.739,2.46648,1.59672,0.8941
0.74,2.46899,1.59313,0.898708
0.741,2.47102,1.58947,0.902867
0.742,2.47304,1.5858,0.907026
0.743,2.47507,1.58214,0.911185
0.744,2.47709,1.57848,0.915344
0.745,2.47912,1.57482,0.919503
0.746,2.48065,1.57108,0.923203
0.747,2.48217,1.56735,0.926902
0.748,2.4837,1.56361,0.930601
0.749,2.48523,1.55988,0.934301
0.75,2.48675,1.55615,0.938
0.751,2.48777,1.55234,0.94123
0.752,2.48879,1.54854,0.944461
0.753,2.48981,1.54473,0.947691
0.754,2.49082,1.54093,0.950922
0.755,2.49184,1.53713,0.954152
0.756,2.49234,1.53325,0.956906
0.757,2.49283,1.52938,0.959659
0.758,2.49333,1.52551,0.962413
0.759,2.49382,1.52163,0.965166
0.76,2.49432,1.51776,0.96792
0.761,2.49428,1.51382,0.970189
0.762,2.49425,1.50988,0.972459
0.763,2.49422,1.50594,0.974729
0.764,2.49418,1.502,0.976998
0.765,2.49415,1.49805,0.979268
0.766,2.49357,1.49405,0.981048
0.767,2.493,1.49004,0.982828
0.768,2.49243,1.48603,0.984608
0.769,2.49185,1.48202,0.986388
0.77,2.49128,1.47801,0.988168
0.771,2.49016,1.47394,0.989454
0.772,2.48904,1.46986,0.99074
0.773,2.48792,1.46578,0.992027
0.774,2.4868,1.46171,0.993313
0.775,2.48568,1.45763,0.994599
0.776,2.48401,1.45349,0.995388
0.777,2.48234,1.44935,0.996177
0.778,2.48067,1.44521,0.996966
0.779,2.47899,1.44107,0.997754
0.78,2.47732,1.43693,0.998543
0.781,2.47509,1.43272,0.998833
0.782,2.47286,1.42852,0.999123
0.783,2.47064,1.42431,0.999413
0.784,2.46841,1.42011,0.999702
0.785,2.46618,1.4159,0.999992
0.786,2.46339,1.41163,0.999782
0.787,2.4606,1.40736,0.999572
0.788,2.45781,1.40309,0.999362
0.789,2.45502,1.39882,0.999151
0.79,2.45223,1.39456,0.998941
0.791,2.44888,1.39022,0.998232
0.792,2.44553,1.38589,0.997522
0.793,2.44218,1.38156,0.996813
0.794,2.43882,1.37723,0.996103
0.795,2.43547,1.3729,0.995394
0.796,2.43156,1.3685,0.994187
0.797,2.42764,1.36411,0.99298
0.798,2.42373,1.35971,0.991772
0.799,2.41981,1.35532,0.990565
0.8,2.41589,1.35093,0.989358
0.801,2.41141,1.34647,0.987657
0.802,2.40694,1.34202,0.985955
0.803,2.40246,1.33756,0.984253
0.804,2.39798,1.33311,0.982552
0.805,2.3935,1.32865,0.98085
0.806,2.38846,1.32414,0.978658
0.807,2.38341,1.31962,0.976466
0.808,2.37837,1.31511,0.974274
0.809,2.37333,1.3106,0.972082
0.81,2.36829,1.30608,0.96989
0.811,2.36269,1.30151,0.967213
0.812,2.35709,1.29694,0.964536
0.813,2.35149,1.29236,0.961859
0.814,2.34589,1.28779,0.959182
0.815,2.34028,1.28322,0.956506
0.816,2.33413,1.27858,0.953351
0.817,2.32797,1.27395,0.950196
0.818,2.32182,1.26932,0.947041
0.819,2.31566,1.26469,0.943886
0.82,2.3095,1.26006,0.940731
0.821,2.3028,1.25537,0.937105
0.822,2.29609,1.25069,0.93348
0.823,2.28938,1.246,0.929855
0.824,2.28268,1.24131,0.926229
0.825,2.27597,1.23662,0.922604
0.826,2.26872,1.23188,0.918518
0.827,2.26147,1.22714,0.914431
0.828,2.25422,1.22239,0.910345
0.829,2.24697,1.21765,0.906258
0.83,2.23972,1.21291,0.902172
0.831,2.23194,1.20811,0.897634
0.832,2.22415,1.20331,0.893097
0.833,2.21636,1.19851,0.888559
0.834,2.20858,1.19372,0.884022
0.835,2.20079,1.18892,0.879484
0.836,2.19248,1.18407,0.874507
0.837,2.18417,1.17922,0.86953
0.838,2.17585,1.17436,0.864553
0.839,2.16754,1.16951,0.859576
0.84,2.15923,1.16466,0.854599
0.841,2.1504,1.15976,0.849195
0.842,2.14157,1.15485,0.84379
0.843,2.13274,1.14995,0.838386
0.844,2.12391,1.14505,0.832982
0.845,2.11508,1.14014,0.827577
0.846,2.10574,1.13519,0.821759
0.847,2.09641,1.13023,0.815941
0.848,2.08707,1.12528,0.810123
0.849,2.07774,1.12032,0.804305
0.85,2.0684,1.11537,0.798487
0.851,2.05857,1.11036,0.79227
0.852,2.04875,1.10536,0.786053
0.853,2.03892,1.10035,0.779836
0.854,2.02909,1.09535,0.773618
0.855,2.01926,1.09034,0.767401
0.856,2.00895,1.08529,0.7608
0.857,1.99864,1.08023,0.7542
0.858,1.98834,1.07518,0.747599
0.859,1.97803,1.07012,0.740998
0.86,1.96772,1.06507,0.734397
0.861,1.95695,1.05997,0.727429
0.862,1.94617,1.05487,0.720461
0.863,1.9354,1.04976,0.713493
0.864,1.92463,1.04466,0.706525
0.865,1.91385,1.03956,0.699557
0.866,1.90263,1.03441,0.69224
0.867,1.89141,1.02926,0.684922
0.868,1.88019,1.02411,0.677605
0.869,1.86896,1.01896,0.670287
0.87,1.85774,1.01381,0.662969
0.871,1.84609,1.00862,0.65532
0.872,1.83443,1.00342,0.647671
0.873,1.82278,0.99823,0.640022
0.874,1.81112,0.993035,0.632373
0.875,1.79947,0.987841,0.624724
0.876,1.7874,0.982602,0.616763
0.877,1.77533,0.977362,0.608801
0.878,1.76326,0.972123,0.60084
0.879,1.75119,0.966884,0.592879
0.88,1.73912,0.961645,0.584917
0.881,1.72665,0.956363,0.576663
0.882,1.71418,0.951081,0.56841
0.883,1.70172,0.945798,0.560156
0.884,1.68925,0.940516,0.551902
0.885,1.67678,0.935233,0.543648
0.886,1.66394,0.929909,0.535123
0.887,1.6511,0.924585,0.526597
0.888,1.63825,0.91926,0.518072
0.889,1.62541,0.913936,0.509546
0.89,1.61256,0.908611,0.501021
0.891,1.59936,0.903246,0.492245
0.892,1.58616,0.897881,0.483469
0.893,1.57296,0.892515,0.474693
0.894,1.55976,0.88715,0.465917
0.895,1.54656,0.881785,0.457141
0.896,1.53303,0.87638,0.448136
0.897,1.51949,0.870975,0.439132
0.898,1.50595,0.86557,0.430127
0.899,1.49242,0.860165,0.421123
0.9,1.47888,0.85476,0.412118
0.901,1.46503,0.849316,0.402908
0.902,1.45118,0.843873,0.393697
0.903,1.43733,0.838429,0.384487
0.904,1.42348,0.832986,0.375276
0.905,1.40963,0.827542,0.366066
0.906,1.39549,0.822062,0.356672
0.907,1.38135,0.816581,0.347279
0.908,1.36721,0.8111,0.337885
0.909,1.35307,0.80562,0.328492
0.91,1.33893,0.800139,0.319098
0.911,1.32452,0.794622,0.309545
0.912,1.31011,0.789106,0.299992
0.913,1.2957,0.783589,0.290439
0.914,1.28129,0.778072,0.280886
0.915,1.26688,0.772555,0.271333
0.916,1.25222,0.767004,0.261645
0.917,1.23757,0.761452,0.251956
0.918,1.22292,0.755901,0.242267
0.919,1.20826,0.75035,0.232579
0.92,1.19361,0.744798,0.22289
0.921,1.17873,0.739213,0.21309
0.922,1.16386,0.733628,0.20329
0.923,1.14899,0.728043,0.19349
0.924,1.13411,0.722458,0.18369
0.925,1.11924,0.716873,0.173889
0.926,1.10417,0.711256,0.164002
0.927,1.0891,0.705639,0.154115
0.928,1.07403,0.700021,0.144228
0.929,1.05896,0.694404,0.134341
0.93,1.04389,0.688787,0.124454
0.931,1.02865,0.683139,0.114505
0.932,1.01341,0.67749,0.104556
0.933,0.998168,0.671842,0.0946067
0.934,0.982928,0.666194,0.0846575
0.935,0.967688,0.660546,0.0747083
0.936,0.952303,0.654868,0.0647217
0.937,0.936918,0.64919,0.0547351
0.938,0.921533,0.643512,0.0447486
0.939,0.906148,0.637834,0.034762
0.94,0.890763,0.632156,0.0247754
0.941,0.875258,0.62645,0.0147765
0.942,0.859754,0.620743,0.00477751
0.943,0.84425,0.615037,-0.00522145
0.944,0.828746,0.60933,-0.0152204
0.945,0.813241,0.603624,-0.0252194
0.946,0.797644,0.59789,-0.0352057
0.947,0.782046,0.592157,-0.0451921
0.948,0.766449,0.586423,-0.0551784
0.949,0.750851,0.58069,-0.0651648
0.95,0.735254,0.574956,-0.0751511
0.951,0.719589,0.569197,-0.0850999
0.952,0.703925,0.563437,-0.0950487
0.953,0.68826,0.557678,-0.104997
0.954,0.672596,0.551918,-0.114946
0.955,0.656931,0.546159,-0.124895
0.956,0.641226,0.540375,-0.134781
0.957,0.625521,0.534591,-0.144668
0.958,0.609815,0.528807,-0.154554
0.959,0.59411,0.523023,-0.16444
0.96,0.578405,0.517239,-0.174327
0.961,0.562685,0.511431,-0.184126
0.962,0.546965,0.505624,-0.193925
0.963,0.531245,0.499817,-0.203724
0.964,0.515525,0.49401,-0.213524
0.965,0.499805,0.488202,-0.223323
0.966,0.484097,0.482373,-0.23301
0.967,0.468388,0.476544,-0.242698
0.968,0.45268,0.470714,-0.252385
0.969,0.436972,0.464885,-0.262073
0.97,0.421264,0.459056,-0.271761
0.971,0.405593,0.453206,-0.281312
0.972,0.389923,0.447356,-0.290864
0.973,0.374253,0.441506,-0.300416
0.974,0.358582,0.435656,-0.309967
0.975,0.342912,0.429806,-0.319519
0.976,0.327305,0.423937,-0.328911
0.977,0.311699,0.418068,-0.338303
0.978,0.296092,0.412198,-0.347695
0.979,0.280486,0.406329,-0.357087
0.98,0.264879,0.40046,-0.366479
0.981,0.249363,0.394573,-0.375688
0.982,0.233846,0.388685,-0.384897
0.983,0.218329,0.382798,-0.394105
0.984,0.202812,0.376911,-0.403314
0.985,0.187295,0.371024,-0.412523
0.986,0.171894,0.36512,-0.421526
0.987,0.156492,0.359216,-0.430528
0.988,0.14109,0.353312,-0.439531
0.989,0.125689,0.347408,-0.448533
0.99,0.110287,0.341504,-0.457536
