"time","cs_adder1fmu1.y","cs_source1fmu1.y","cs_source1fmu2.y"
0.058,0.674025,0.346237,0.54786
0.059,0.689085,0.352148,0.556251
0.06,0.704146,0.358059,0.564642
0.061,0.718977,0.363954,0.572751
0.062,0.733808,0.369849,0.58086
0.063,0.74864,0.375744,0.588969
0.064,0.763471,0.381638,0.597078
0.065,0.778302,0.387533,0.605186
0.066,0.79288,0.39341,0.612993
0.067,0.807458,0.399288,0.620799
0.068,0.822036,0.405165,0.628605
0.069,0.836614,0.411042,0.636411
0.07,0.851192,0.41692,0.644218
0.071,0.865494,0.422778,0.651702
0.072,0.879796,0.428637,0.659186
0.073,0.894098,0.434496,0.66667
0.074,0.9084,0.440354,0.674155
0.075,0.922702,0.446213,0.681639
0.076,0.936705,0.452051,0.688782
0.077,0.950709,0.45789,0.695926
0.078,0.964712,0.463728,0.703069
0.079,0.978716,0.469567,0.710213
0.08,0.992719,0.475405,0.717356
0.081,1.0064,0.481222,0.724141
0.082,1.02009,0.487039,0.730926
0.083,1.03377,0.492857,0.737711
0.084,1.04745,0.498674,0.744496
0.085,1.06114,0.504491,0.75128
0.086,1.07448,0.510285,0.75769
0.087,1.08782,0.51608,0.764099
0.088,1.10117,0.521874,0.770508
0.089,1.11451,0.527668,0.776918
0.09,1.12785,0.533463,0.783327
0.091,1.14083,0.539233,0.789345
0.092,1.15382,0.545004,0.795362
0.093,1.1668,0.550774,0.80138
0.094,1.17978,0.556544,0.807398
0.095,1.19276,0.562315,0.813416
0.096,1.20536,0.56806,0.819027
0.097,1.21797,0.573805,0.824638
0.098,1.23057,0.57955,0.830249
0.099,1.24317,0.585295,0.83586
0.1,1.25577,0.59104,0.841471
0.101,1.26797,0.596759,0.846661
0.102,1.28018,0.602477,0.851852
0.103,1.29238,0.608196,0.857042
0.104,1.30459,0.613914,0.862233
0.105,1.31679,0.619633,0.867423
0.106,1.32858,0.625324,0.87218
0.107,1.34037,0.631014,0.876937
0.108,1.35215,0.636705,0.881694
0.109,1.36394,0.642395,0.886451
0.11,1.37573,0.648086,0.891207
0.111,1.38709,0.653748,0.895519
0.112,1.39844,0.659409,0.89983
0.113,1.4098,0.66507,0.904141
0.114,1.42116,0.670732,0.908453
0.115,1.43251,0.676393,0.912764
0.116,1.44342,0.682024,0.916619
0.117,1.45433,0.687655,0.920474
0.118,1.46524,0.693286,0.924329
0.119,1.47615,0.698917,0.928184
0.12,1.48706,0.704548,0.932039
0.121,1.4975,0.710148,0.935428
0.122,1.50795,0.715747,0.938817
0.123,1.5184,0.721346,0.942206
0.124,1.52885,0.726946,0.945596
0.125,1.53929,0.732545,0.948985
0.126,1.54927,0.738111,0.951899
0.127,1.55924,0.743678,0.954814
0.128,1.56921,0.749244,0.957729
0.129,1.57918,0.75481,0.960643
0.13,1.58916,0.760377,0.963558
0.131,1.59864,0.765909,0.965991
0.132,1.60813,0.771441,0.968424
0.133,1.61762,0.776973,0.970857
0.134,1.6271,0.782505,0.97329
0.135,1.63659,0.788038,0.975723
0.136,1.64558,0.793534,0.977669
0.137,1.65456,0.799031,0.979614
0.138,1.66355,0.804528,0.981559
0.139,1.67254,0.810024,0.983504
0.14,1.68153,0.815521,0.98545
0.141,1.69001,0.820981,0.986902
0.142,1.69849,0.826441,0.988355
0.143,1.70697,0.831901,0.989808
0.144,1.71545,0.837361,0.99126
0.145,1.72394,0.842821,0.992713
0.146,1.7319,0.848243,0.993669
0.147,1.73987,0.853665,0.994626
0.148,1.74783,0.859087,0.995582
0.149,1.7558,0.864509,0.996539
0.15,1.76376,0.869931,0.997495
0.151,1.7712,0.875314,0.997953
0.152,1.77864,0.880697,0.99841
0.153,1.78609,0.88608,0.998868
0.154,1.79353,0.891463,0.999326
0.155,1.80097,0.896846,0.999784
0.156,1.80788,0.902188,0.999742
0.157,1.8148,0.907531,0.9997
0.158,1.82171,0.912873,0.999658
0.159,1.82862,0.918216,0.999616
0.16,1.83553,0.923558,0.999574
0.161,1.84191,0.928859,0.999032
0.162,1.84829,0.93416,0.99849
0.163,1.85467,0.939461,0.997948
0.164,1.86105,0.944762,0.997407
0.165,1.86743,0.950063,0.996865
0.166,1.87327,0.955322,0.995825
0.167,1.87911,0.96058,0.994785
0.168,1.88495,0.965838,0.993745
0.169,1.89079,0.971096,0.992705
0.17,1.89663,0.976354,0.991665
0.171,1.90193,0.981569,0.990129
0.172,1.90723,0.986783,0.988593
0.173,1.91253,0.991997,0.987057
0.174,1.91783,0.997212,0.985522
0.175,1.92313,1.00243,0.983986
0.176,1.92789,1.0076,0.981958
0.177,1.93265,1.01276,0.979931
0.178,1.93741,1.01793,0.977903
0.179,1.94217,1.0231,0.975875
0.18,1.94693,1.02827,0.973848
0.181,1.95115,1.03339,0.971333
0.182,1.95536,1.03852,0.968819
0.183,1.95958,1.04364,0.966304
