time,shaft1.tlm.rx,shaft1.tlm.ry,shaft1.tlm.rz,shaft1.tlm.ax,shaft1.tlm.ay,shaft1.tlm.az,shaft1.tlm.vx,shaft1.tlm.vy,shaft1.tlm.vz,shaft1.tlm.wx,shaft1.tlm.wy,shaft1.tlm.wz,shaft1.tlm.fx,shaft1.tlm.fy,shaft1.tlm.fz,shaft1.tlm.tx,shaft1.tlm.ty,shaft1.tlm.tz,brg1.bIR`cs1.rx,brg1.bIR`cs1.ry,brg1.bIR`cs1.rz,brg1.bIR`cs1.ax,brg1.bIR`cs1.ay,brg1.bIR`cs1.az,brg1.bIR`cs1.vx,brg1.bIR`cs1.vy,brg1.bIR`cs1.vz,brg1.bIR`cs1.wx,brg1.bIR`cs1.wy,brg1.bIR`cs1.wz,brg1.bIR`cs1.fx,brg1.bIR`cs1.fy,brg1.bIR`cs1.fz,brg1.bIR`cs1.tx,brg1.bIR`cs1.ty,brg1.bIR`cs1.tz,brg1.bER`cs1.rx,brg1.bER`cs1.ry,brg1.bER`cs1.rz,brg1.bER`cs1.ax,brg1.bER`cs1.ay,brg1.bER`cs1.az,brg1.bER`cs1.vx,brg1.bER`cs1.vy,brg1.bER`cs1.vz,brg1.bER`cs1.wx,brg1.bER`cs1.wy,brg1.bER`cs1.wz,brg1.bER`cs1.fx,brg1.bER`cs1.fy,brg1.bER`cs1.fz,brg1.bER`cs1.tx,brg1.bER`cs1.ty,brg1.bER`cs1.tz,shaft2.tlm.rx,shaft2.tlm.ry,shaft2.tlm.rz,shaft2.tlm.ax,shaft2.tlm.ay,shaft2.tlm.az,shaft2.tlm.vx,shaft2.tlm.vy,shaft2.tlm.vz,shaft2.tlm.wx,shaft2.tlm.wy,shaft2.tlm.wz,shaft2.tlm.fx,shaft2.tlm.fy,shaft2.tlm.fz,shaft2.tlm.tx,shaft2.tlm.ty,shaft2.tlm.tz
0.066783,-6.32469e-05,-0.1,5.09817e-25,-5.09817e-24,1.0184e-20,-0.000632469,-0.000924641,5.84807e-07,5.94047e-24,1.28039e-22,2.96367e-19,-0.00924641,0.530245,0.00485762,1.30476e-19,1.01826e-20,2.37094e-17,-0.745644,-6.5434e-05,2.05446e-08,5.37212e-25,1.5708,1.04467e-20,-0.000117195,-0.000519849,6.27969e-07,1.44365e-23,1.50674e-22,3.27068e-19,-0.00375738,-2.09949,0.00519375,1.62842e-19,1.28879e-20,2.68234e-17,-0.300838,-6.49664e-05,2.02192e-08,5.28721e-25,1.5708,1.0298e-20,-0.000619678,-0.00135829,6.0744e-07,-1.15988e-24,9.37557e-23,3.05659e-19,-0.00943843,-15.9779,0.00490829,2.81821e-20,3.06327e-21,2.54217e-17,-0.764048,-6.57311e-05,2.06366e-08,5.50074e-25,2.56259e-25,1.05201e-20,-0.000117986,-0.00140143,6.23602e-07,-5.08872e-24,2.41509e-22,2.67871e-19,-0.00304002,-11.3576,0.00498218,-4.1798e-20,1.93823e-20,2.14297e-17,-0.250553
0.066783,-6.32469e-05,-0.1,5.09817e-25,-5.09817e-24,1.0184e-20,-0.000632469,-0.000924641,5.84807e-07,5.94047e-24,1.28039e-22,2.96367e-19,-0.00924641,0.530245,0.00485762,1.30476e-19,1.01826e-20,2.37094e-17,-0.745644,-6.5434e-05,2.05446e-08,5.37212e-25,1.5708,1.04467e-20,-0.000117195,-0.000519849,6.27969e-07,1.44365e-23,1.50674e-22,3.27068e-19,-0.00375738,-2.09949,0.00519375,1.62842e-19,1.28879e-20,2.68234e-17,-0.300838,-6.49664e-05,2.02192e-08,5.28721e-25,1.5708,1.0298e-20,-0.000619678,-0.00135829,6.0744e-07,-1.15988e-24,9.37557e-23,3.05659e-19,-0.00943843,-15.9779,0.00490829,2.81821e-20,3.06327e-21,2.54217e-17,-0.764048,-6.57311e-05,2.06366e-08,5.50074e-25,2.56259e-25,1.05201e-20,-0.000117986,-0.00140143,6.23602e-07,-5.08872e-24,2.41509e-22,2.67871e-19,-0.00304002,-11.3576,0.00498218,-4.1798e-20,1.93823e-20,2.14297e-17,-0.250553
0.066783,-6.32469e-05,-0.1,5.09817e-25,-5.09817e-24,1.0184e-20,-0.000632469,-0.000924641,5.84807e-07,5.94047e-24,1.28039e-22,2.96367e-19,-0.00924641,0.530245,0.00485762,1.30476e-19,1.01826e-20,2.37094e-17,-0.745644,-6.5434e-05,2.05446e-08,5.37212e-25,1.5708,1.04467e-20,-0.000117195,-0.000519849,6.27969e-07,1.44365e-23,1.50674e-22,3.27068e-19,-0.00375738,-2.09949,0.00519375,1.62842e-19,1.28879e-20,2.68234e-17,-0.300838,-6.49664e-05,2.02192e-08,5.28721e-25,1.5708,1.0298e-20,-0.000619678,-0.00135829,6.0744e-07,-1.15988e-24,9.37557e-23,3.05659e-19,-0.00943843,-15.9779,0.00490829,2.81821e-20,3.06327e-21,2.54217e-17,-0.764048,-6.57311e-05,2.06366e-08,5.50074e-25,2.56259e-25,1.05201e-20,-0.000117986,-0.00140143,6.23602e-07,-5.08872e-24,2.41509e-22,2.67871e-19,-0.00304002,-11.3576,0.00498218,-4.1798e-20,1.93823e-20,2.14297e-17,-0.250553
0.066783,-6.32469e-05,-0.1,5.09817e-25,-5.09817e-24,1.0184e-20,-0.000632469,-0.000924641,5.84807e-07,5.94047e-24,1.28039e-22,2.96367e-19,-0.00924641,0.530245,0.00485762,1.30476e-19,1.01826e-20,2.37094e-17,-0.745644,-6.5434e-05,2.05446e-08,5.37212e-25,1.5708,1.04467e-20,-0.000117195,-0.000519849,6.27969e-07,1.44365e-23,1.50674e-22,3.27068e-19,-0.00375738,-2.09949,0.00519375,1.62842e-19,1.28879e-20,2.68234e-17,-0.300838,-6.49664e-05,2.02192e-08,5.28721e-25,1.5708,1.0298e-20,-0.000619678,-0.00135829,6.0744e-07,-1.15988e-24,9.37557e-23,3.05659e-19,-0.00943843,-15.9779,0.00490829,2.81821e-20,3.06327e-21,2.54217e-17,-0.764048,-6.57311e-05,2.06366e-08,5.50074e-25,2.56259e-25,1.05201e-20,-0.000117986,-0.00140143,6.23602e-07,-5.08872e-24,2.41509e-22,2.67871e-19,-0.00304002,-11.3576,0.00498218,-4.1798e-20,1.93823e-20,2.14297e-17,-0.250553
0.066783,-6.32469e-05,-0.1,5.09817e-25,-5.09817e-24,1.0184e-20,-0.000632469,-0.000924641,5.84807e-07,5.94047e-24,1.28039e-22,2.96367e-19,-0.00924641,0.530245,0.00485762,1.30476e-19,1.01826e-20,2.37094e-17,-0.745644,-6.5434e-05,2.05446e-08,5.37212e-25,1.5708,1.04467e-20,-0.000117195,-0.000519849,6.27969e-07,1.44365e-23,1.50674e-22,3.27068e-19,-0.00375738,-2.09949,0.00519375,1.62842e-19,1.28879e-20,2.68234e-17,-0.300838,-6.49664e-05,2.02192e-08,5.28721e-25,1.5708,1.0298e-20,-0.000619678,-0.00135829,6.0744e-07,-1.15988e-24,9.37557e-23,3.05659e-19,-0.00943843,-15.9779,0.00490829,2.81821e-20,3.06327e-21,2.54217e-17,-0.764048,-6.57311e-05,2.06366e-08,5.50074e-25,2.56259e-25,1.05201e-20,-0.000117986,-0.00140143,6.23602e-07,-5.08872e-24,2.41509e-22,2.67871e-19,-0.00304002,-11.3576,0.00498218,-4.1798e-20,1.93823e-20,2.14297e-17,-0.250553
0.066783,-6.32469e-05,-0.1,5.09817e-25,-5.09817e-24,1.0184e-20,-0.000632469,-0.000924641,5.84807e-07,5.94047e-24,1.28039e-22,2.96367e-19,-0.00924641,0.530245,0.00485762,1.30476e-19,1.01826e-20,2.37094e-17,-0.745644,-6.5434e-05,2.05446e-08,5.37212e-25,1.5708,1.04467e-20,-0.000117195,-0.000519849,6.27969e-07,1.44365e-23,1.50674e-22,3.27068e-19,-0.00375738,-2.09949,0.00519375,1.62842e-19,1.28879e-20,2.68234e-17,-0.300838,-6.49664e-05,2.02192e-08,5.28721e-25,1.5708,1.0298e-20,-0.000619678,-0.00135829,6.0744e-07,-1.15988e-24,9.37557e-23,3.05659e-19,-0.00943843,-15.9779,0.00490829,2.81821e-20,3.06327e-21,2.54217e-17,-0.764048,-6.57311e-05,2.06366e-08,5.50074e-25,2.56259e-25,1.05201e-20,-0.000117986,-0.00140143,6.23602e-07,-5.08872e-24,2.41509e-22,2.67871e-19,-0.00304002,-11.3576,0.00498218,-4.1798e-20,1.93823e-20,2.14297e-17,-0.250553
0.069,-6.56455e-05,-0.1,5.5621e-25,-5.5621e-24,1.08757e-20,-0.000656456,-0.00118674,7.79042e-07,3.4108e-23,-1.3685e-22,3.1111e-19,-0.0118674,-9.05665,0.00682981,3.32271e-19,-1.08698e-20,2.48886e-17,-0.954693,-6.68709e-05,2.14251e-08,5.62999e-25,1.5708,1.08391e-20,-0.000121567,-0.00110033,7.79783e-07,2.9202e-23,-3.24231e-23,3.11585e-19,-0.00333126,-7.93794,0.0063757,2.42514e-19,-2.86107e-21,2.54754e-17,-0.265956,-6.68708e-05,2.14251e-08,5.62999e-25,1.5708,1.08391e-20,-0.000638323,-0.00110032,7.79784e-07,2.92024e-23,-1.2604e-22,3.11585e-19,-0.0119398,-12.1795,0.00588032,1.58061e-19,-1.05928e-20,2.54744e-17,-0.952071,-6.67809e-05,2.14463e-08,5.75446e-25,2.85982e-25,1.08804e-20,-0.000121985,-0.00130623,7.81554e-07,4.45607e-23,-4.13017e-23,3.11305e-19,-0.00335214,-10.4978,0.00623932,3.53351e-19,-3.13228e-21,2.49044e-17,-0.270506
0.079,-7.68445e-05,-0.1,8.21213e-25,-8.21213e-24,1.43122e-20,-0.000768445,-0.00117382,9.02014e-07,3.50987e-23,-8.32691e-23,3.48389e-19,-0.0117382,-7.12238,0.00769989,2.93857e-19,-6.58488e-21,2.78711e-17,-0.944418,-7.79382e-05,2.93947e-08,8.26941e-25,1.5708,1.4272e-20,-0.000159658,-0.00103906,8.96419e-07,4.06358e-23,2.44637e-23,3.55667e-19,-0.00391302,-8.08942,0.00742854,4.02732e-19,1.59192e-21,2.89135e-17,-0.313817,-7.79381e-05,2.93947e-08,8.26942e-25,1.5708,1.4272e-20,-0.000750243,-0.00103906,8.96421e-07,4.06368e-23,-8.63361e-23,3.55667e-19,-0.0116734,-10.1888,0.00673484,2.13329e-19,-7.4022e-21,2.89017e-17,-0.93262,-7.8165e-05,2.94258e-08,8.39477e-25,5.21534e-25,1.4319e-20,-0.000160134,-0.00132972,9.0174e-07,2.91085e-23,3.03399e-23,3.48328e-19,-0.00378037,-10.7675,0.00720158,2.29187e-19,2.62604e-21,2.78662e-17,-0.30888
0.089,-8.85229e-05,-0.1,1.1661e-24,-1.1661e-23,1.8208e-20,-0.000885229,-0.00119292,1.05601e-06,4.12807e-23,-5.78003e-23,4.01033e-19,-0.0119292,-5.30483,0.00904989,4.82321e-19,-4.54925e-21,3.20825e-17,-0.959964,-8.96313e-05,3.90416e-08,1.17213e-24,1.5708,1.81664e-20,-0.000202807,-0.00126324,1.05493e-06,4.17785e-23,8.80308e-23,3.96179e-19,-0.00433674,-11.5525,0.00859695,2.88836e-19,7.0361e-21,3.21664e-17,-0.346855,-8.96311e-05,3.90416e-08,1.17213e-24,1.5708,1.81664e-20,-0.00086697,-0.00126326,1.05493e-06,4.1778e-23,-4.90753e-23,3.96179e-19,-0.0118802,-10.6567,0.00808938,3.33403e-19,-3.92564e-21,3.21686e-17,-0.948662,-8.98055e-05,3.90794e-08,1.18295e-24,7.80976e-25,1.82149e-20,-0.000203296,-0.00110576,1.05388e-06,3.91014e-23,7.83567e-23,4.00951e-19,-0.00440279,-8.9524,0.00842348,3.099e-19,6.42997e-21,3.2076e-17,-0.357525
0.099,-0.000100759,-0.0999999,1.62489e-24,-1.62489e-23,2.25883e-20,-0.00100759,-0.00124339,1.25282e-06,5.08052e-23,-4.73409e-23,4.57241e-19,-0.0124339,-10.1988,0.0104802,4.00411e-19,-3.77353e-21,3.65793e-17,-1.00061,-0.000101926,5.06221e-08,1.6306e-24,1.5708,2.25472e-20,-0.00025122,-0.00134177,1.25528e-06,4.72777e-23,1.11754e-22,4.60256e-19,-0.0050878,-9.13851,0.0103129,4.22725e-19,9.00268e-21,3.76801e-17,-0.410421,-0.000101925,5.06222e-08,1.6306e-24,1.5708,2.25472e-20,-0.000989375,-0.00134175,1.25528e-06,4.7278e-23,-5.49201e-23,4.60256e-19,-0.0124771,-14.5787,0.00978698,3.25814e-19,-4.5735e-21,3.76883e-17,-1.00179,-0.000101941,5.06499e-08,1.64249e-24,8.45538e-25,2.25958e-20,-0.00025172,-0.00109465,1.25938e-06,5.91437e-23,1.20422e-22,4.57236e-19,-0.00505933,-8.86766,0.0100731,4.72308e-19,9.68176e-21,3.65783e-17,-0.410285
